Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2022,December,1 North West Metro, Banyule,"2,806","2,221.1"
2022,December,1 North West Metro, Brimbank,"6,636","3,410.8"
2022,December,1 North West Metro, Darebin,"5,470","3,665.5"
2022,December,1 North West Metro, Hobsons Bay,"2,829","3,086.7"
2022,December,1 North West Metro, Hume,"7,314","2,905.5"
2022,December,1 North West Metro, Maribyrnong,"4,273","4,918.5"
2022,December,1 North West Metro, Melbourne,"13,676","8,818.0"
2022,December,1 North West Metro, Melton,"4,789","2,506.4"
2022,December,1 North West Metro, Merri-bek,"6,049","3,507.4"
2022,December,1 North West Metro, Moonee Valley,"3,429","2,806.1"
2022,December,1 North West Metro, Nillumbik,736,"1,169.5"
2022,December,1 North West Metro, Whittlesea,"4,932","2,102.5"
2022,December,1 North West Metro, Wyndham,"8,167","2,655.0"
2022,December,1 North West Metro, Yarra,"5,810","6,304.6"
2022,December,1 North West Metro,Total,"76,916","3,436.1"
2022,December,2 Eastern, Alpine,208,"1,570.6"
2022,December,2 Eastern, Bass Coast,"1,283","3,059.7"
2022,December,2 Eastern, Baw Baw,"1,552","2,611.5"
2022,December,2 Eastern, Benalla,466,"3,219.4"
2022,December,2 Eastern, Boroondara,"3,851","2,286.6"
2022,December,2 Eastern, East Gippsland,"1,760","3,583.1"
2022,December,2 Eastern, Greater Shepparton,"2,702","3,926.4"
2022,December,2 Eastern, Indigo,315,"1,816.1"
2022,December,2 Eastern, Knox,"3,380","2,125.0"
2022,December,2 Eastern, Latrobe,"4,007","5,174.1"
2022,December,2 Eastern, Manningham,"1,865","1,495.2"
2022,December,2 Eastern, Mansfield,129,"1,251.9"
2022,December,2 Eastern, Maroondah,"2,504","2,170.8"
2022,December,2 Eastern, Mitchell,"1,263","2,450.7"
2022,December,2 Eastern, Moira,822,"2,694.6"
2022,December,2 Eastern, Monash,"5,558","2,896.9"
2022,December,2 Eastern, Murrindindi,301,"1,970.8"
2022,December,2 Eastern, South Gippsland,726,"2,368.0"
2022,December,2 Eastern, Strathbogie,213,"1,847.3"
2022,December,2 Eastern, Towong,93,"1,497.9"
2022,December,2 Eastern, Wangaratta,806,"2,690.6"
2022,December,2 Eastern, Wellington,"1,763","3,848.9"
2022,December,2 Eastern, Whitehorse,"3,846","2,253.3"
2022,December,2 Eastern, Wodonga,"1,510","3,442.5"
2022,December,2 Eastern, Yarra Ranges,"2,697","1,720.1"
2022,December,2 Eastern,Total,"43,620","2,559.3"
2022,December,3 Southern Metro, Bayside,"2,684","2,657.3"
2022,December,3 Southern Metro, Cardinia,"2,560","2,085.3"
2022,December,3 Southern Metro, Casey,"8,970","2,379.5"
2022,December,3 Southern Metro, Frankston,"4,701","3,352.8"
2022,December,3 Southern Metro, Glen Eira,"3,856","2,580.7"
2022,December,3 Southern Metro, Greater Dandenong,"6,950","4,377.6"
2022,December,3 Southern Metro, Kingston,"4,426","2,798.5"
2022,December,3 Southern Metro, Mornington Peninsula,"3,815","2,232.3"
2022,December,3 Southern Metro, Port Phillip,"6,370","6,171.6"
2022,December,3 Southern Metro, Stonnington,"5,438","5,162.8"
2022,December,3 Southern Metro,Total,"49,770","3,136.6"
2022,December,4 Western, Ararat,442,"3,729.0"
2022,December,4 Western, Ballarat,"4,448","3,839.3"
2022,December,4 Western, Buloke,88,"1,438.9"
2022,December,4 Western, Campaspe,"1,407","3,634.5"
2022,December,4 Western, Central Goldfields,464,"3,457.7"
2022,December,4 Western, Colac-Otway,586,"2,626.7"
2022,December,4 Western, Corangamite,289,"1,811.5"
2022,December,4 Western, Gannawarra,265,"2,490.1"
2022,December,4 Western, Glenelg,582,"2,901.2"
2022,December,4 Western, Golden Plains,247,972.3
2022,December,4 Western, Greater Bendigo,"4,089","3,325.5"
2022,December,4 Western, Greater Geelong,"8,377","3,025.9"
2022,December,4 Western, Hepburn,299,"1,797.6"
2022,December,4 Western, Hindmarsh,102,"1,808.4"
2022,December,4 Western, Horsham,847,"4,155.7"
2022,December,4 Western, Loddon,182,"2,359.0"
2022,December,4 Western, Macedon Ranges,799,"1,525.8"
2022,December,4 Western, Mildura,"2,923","5,126.3"
2022,December,4 Western, Moorabool,810,"2,087.4"
2022,December,4 Western, Mount Alexander,353,"1,736.8"
2022,December,4 Western, Moyne,271,"1,554.9"
2022,December,4 Western, Northern Grampians,367,"3,082.9"
2022,December,4 Western, Pyrenees,158,"2,059.7"
2022,December,4 Western, Queenscliffe,67,"2,011.7"
2022,December,4 Western, Southern Grampians,419,"2,548.2"
2022,December,4 Western, Surf Coast,530,"1,351.6"
2022,December,4 Western, Swan Hill,732,"3,444.1"
2022,December,4 Western, Warrnambool,936,"2,623.9"
2022,December,4 Western, West Wimmera,47,"1,193.9"
2022,December,4 Western, Yarriambiack,181,"2,823.3"
2022,December,4 Western,Total,"31,307","2,947.2"
2022,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,763,
2022,December,Justice Institutions and Immigration Facilities,Total,763,
2022,December,Unincorporated Vic, Unincorporated Vic,61,
2022,December,Unincorporated Vic,Total,61,
2021,December,1 North West Metro, Banyule,"2,957","2,321.5"
2021,December,1 North West Metro, Brimbank,"7,412","3,767.9"
2021,December,1 North West Metro, Darebin,"5,522","3,673.1"
2021,December,1 North West Metro, Hobsons Bay,"2,637","2,857.8"
2021,December,1 North West Metro, Hume,"7,388","2,992.9"
2021,December,1 North West Metro, Maribyrnong,"4,596","5,319.6"
2021,December,1 North West Metro, Melbourne,"11,982","7,797.0"
2021,December,1 North West Metro, Melton,"5,123","2,826.9"
2021,December,1 North West Metro, Merri-bek,"6,226","3,587.6"
2021,December,1 North West Metro, Moonee Valley,"3,767","3,063.5"
2021,December,1 North West Metro, Nillumbik,804,"1,267.1"
2021,December,1 North West Metro, Whittlesea,"5,281","2,278.3"
2021,December,1 North West Metro, Wyndham,"7,443","2,512.9"
2021,December,1 North West Metro, Yarra,"5,667","6,190.5"
2021,December,1 North West Metro,Total,"76,805","3,468.5"
2021,December,2 Eastern, Alpine,191,"1,451.8"
2021,December,2 Eastern, Bass Coast,"1,310","3,223.3"
2021,December,2 Eastern, Baw Baw,"1,599","2,777.0"
2021,December,2 Eastern, Benalla,558,"3,866.7"
2021,December,2 Eastern, Boroondara,"3,751","2,207.8"
2021,December,2 Eastern, East Gippsland,"1,922","3,966.7"
2021,December,2 Eastern, Greater Shepparton,"2,996","4,372.3"
2021,December,2 Eastern, Indigo,296,"1,716.0"
2021,December,2 Eastern, Knox,"3,675","2,289.9"
2021,December,2 Eastern, Latrobe,"3,962","5,139.7"
2021,December,2 Eastern, Manningham,"1,874","1,489.3"
2021,December,2 Eastern, Mansfield,152,"1,503.2"
2021,December,2 Eastern, Maroondah,"2,818","2,427.6"
2021,December,2 Eastern, Mitchell,"1,309","2,634.7"
2021,December,2 Eastern, Moira,817,"2,691.8"
2021,December,2 Eastern, Monash,"5,146","2,665.6"
2021,December,2 Eastern, Murrindindi,341,"2,253.2"
2021,December,2 Eastern, South Gippsland,650,"2,139.7"
2021,December,2 Eastern, Strathbogie,261,"2,296.7"
2021,December,2 Eastern, Towong,90,"1,455.6"
2021,December,2 Eastern, Wangaratta,829,"2,787.5"
2021,December,2 Eastern, Wellington,"1,653","3,636.8"
2021,December,2 Eastern, Whitehorse,"3,535","2,065.2"
2021,December,2 Eastern, Wodonga,"1,302","3,015.1"
2021,December,2 Eastern, Yarra Ranges,"2,817","1,789.5"
2021,December,2 Eastern,Total,"43,854","2,575.7"
2021,December,3 Southern Metro, Bayside,"2,307","2,254.3"
2021,December,3 Southern Metro, Cardinia,"2,679","2,241.4"
2021,December,3 Southern Metro, Casey,"8,537","2,310.7"
2021,December,3 Southern Metro, Frankston,"4,487","3,186.6"
2021,December,3 Southern Metro, Glen Eira,"3,639","2,415.0"
2021,December,3 Southern Metro, Greater Dandenong,"6,534","4,079.4"
2021,December,3 Southern Metro, Kingston,"4,014","2,515.6"
2021,December,3 Southern Metro, Mornington Peninsula,"3,593","2,108.7"
2021,December,3 Southern Metro, Port Phillip,"6,211","6,000.5"
2021,December,3 Southern Metro, Stonnington,"5,178","4,872.1"
2021,December,3 Southern Metro,Total,"47,179","2,980.9"
2021,December,4 Western, Ararat,488,"4,128.2"
2021,December,4 Western, Ballarat,"4,497","3,962.7"
2021,December,4 Western, Buloke,105,"1,712.9"
2021,December,4 Western, Campaspe,"1,110","2,879.8"
2021,December,4 Western, Central Goldfields,480,"3,586.9"
2021,December,4 Western, Colac-Otway,574,"2,573.5"
2021,December,4 Western, Corangamite,353,"2,202.3"
2021,December,4 Western, Gannawarra,280,"2,638.5"
2021,December,4 Western, Glenelg,626,"3,121.3"
2021,December,4 Western, Golden Plains,300,"1,205.8"
