Year,Year ending,Local Government Area,Sex,Victim Reports
2022,December,Alpine,Females,103
2022,December,Alpine,Males,101
2022,December,Alpine,Organisations,58
2022,December,Alpine,People,208
2022,December,Ararat,Females,194
2022,December,Ararat,Males,239
2022,December,Ararat,Organisations,132
2022,December,Ararat,People,442
2022,December,Ballarat,Females,"2,147"
2022,December,Ballarat,Males,"2,241"
2022,December,Ballarat,Organisations,"1,835"
2022,December,Ballarat,People,"4,448"
2022,December,Banyule,Females,"1,274"
2022,December,Banyule,Males,"1,487"
2022,December,Banyule,Organisations,842
2022,December,Banyule,People,"2,806"
2022,December,Bass Coast,Females,664
2022,December,Bass Coast,Males,607
2022,December,Bass Coast,Organisations,341
2022,December,Bass Coast,People,"1,283"
2022,December,Baw Baw,Females,819
2022,December,Baw Baw,Males,705
2022,December,Baw Baw,Organisations,448
2022,December,Baw Baw,People,"1,552"
2022,December,Bayside,Females,"1,202"
2022,December,Bayside,Males,"1,455"
2022,December,Bayside,Organisations,644
2022,December,Bayside,People,"2,684"
2022,December,Benalla,Females,221
2022,December,Benalla,Males,232
2022,December,Benalla,Organisations,131
2022,December,Benalla,People,466
2022,December,Boroondara,Females,"1,690"
2022,December,Boroondara,Males,"2,115"
2022,December,Boroondara,Organisations,"1,244"
2022,December,Boroondara,People,"3,851"
2022,December,Brimbank,Females,"2,838"
2022,December,Brimbank,Males,"3,689"
2022,December,Brimbank,Organisations,"2,420"
2022,December,Brimbank,People,"6,636"
2022,December,Buloke,Females,47
2022,December,Buloke,Males,41
2022,December,Buloke,Organisations,45
2022,December,Buloke,People,88
2022,December,Campaspe,Females,658
2022,December,Campaspe,Males,730
2022,December,Campaspe,Organisations,445
2022,December,Campaspe,People,"1,407"
2022,December,Cardinia,Females,"1,286"
2022,December,Cardinia,Males,"1,222"
2022,December,Cardinia,Organisations,"1,088"
2022,December,Cardinia,People,"2,560"
2022,December,Casey,Females,"4,192"
2022,December,Casey,Males,"4,636"
2022,December,Casey,Organisations,"2,903"
2022,December,Casey,People,"8,970"
2022,December,Central Goldfields,Females,242
2022,December,Central Goldfields,Males,214
2022,December,Central Goldfields,Organisations,102
2022,December,Central Goldfields,People,464
2022,December,Colac-Otway,Females,297
2022,December,Colac-Otway,Males,281
2022,December,Colac-Otway,Organisations,124
2022,December,Colac-Otway,People,586
2022,December,Corangamite,Females,127
2022,December,Corangamite,Males,155
2022,December,Corangamite,Organisations,87
2022,December,Corangamite,People,289
2022,December,Darebin,Females,"2,403"
2022,December,Darebin,Males,"2,958"
2022,December,Darebin,Organisations,"2,062"
2022,December,Darebin,People,"5,470"
2022,December,East Gippsland,Females,922
2022,December,East Gippsland,Males,819
2022,December,East Gippsland,Organisations,489
2022,December,East Gippsland,People,"1,760"
2022,December,Frankston,Females,"2,309"
2022,December,Frankston,Males,"2,321"
2022,December,Frankston,Organisations,"1,606"
2022,December,Frankston,People,"4,701"
2022,December,Gannawarra,Females,127
2022,December,Gannawarra,Males,133
2022,December,Gannawarra,Organisations,88
2022,December,Gannawarra,People,265
2022,December,Glen Eira,Females,"1,664"
2022,December,Glen Eira,Males,"2,165"
2022,December,Glen Eira,Organisations,929
2022,December,Glen Eira,People,"3,856"
2022,December,Glenelg,Females,287
2022,December,Glenelg,Males,287
2022,December,Glenelg,Organisations,154
2022,December,Glenelg,People,582
2022,December,Golden Plains,Females,119
2022,December,Golden Plains,Males,123
2022,December,Golden Plains,Organisations,96
2022,December,Golden Plains,People,247
2022,December,Greater Bendigo,Females,"2,055"
2022,December,Greater Bendigo,Males,"1,984"
2022,December,Greater Bendigo,Organisations,"1,415"
2022,December,Greater Bendigo,People,"4,089"
2022,December,Greater Dandenong,Females,"2,843"
2022,December,Greater Dandenong,Males,"3,966"
2022,December,Greater Dandenong,Organisations,"2,338"
2022,December,Greater Dandenong,People,"6,950"
2022,December,Greater Geelong,Females,"4,098"
